MSA,Month,Temp
"New York-Newark-Jersey City, NY-NJ-PA",5,63
"New York-Newark-Jersey City, NY-NJ-PA",6,72
"New York-Newark-Jersey City, NY-NJ-PA",7,76.5
"New York-Newark-Jersey City, NY-NJ-PA",8,76.5
"New York-Newark-Jersey City, NY-NJ-PA",9,68.5
"New York-Newark-Jersey City, NY-NJ-PA",10,57
"New York-Newark-Jersey City, NY-NJ-PA",11,48.5
"New York-Newark-Jersey City, NY-NJ-PA",12,37.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,34.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,37.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3,45
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4,56.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5,66
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6,75.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7,80.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",8,78.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",9,71.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,59.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11,49
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",12,40
"Phoenix-Mesa-Chandler, AZ",1,56.5
"Phoenix-Mesa-Chandler, AZ",2,60
"Phoenix-Mesa-Chandler, AZ",3,64.5
"Phoenix-Mesa-Chandler, AZ",4,72.5
"Phoenix-Mesa-Chandler, AZ",5,80.5
"Phoenix-Mesa-Chandler, AZ",6,90
"Phoenix-Mesa-Chandler, AZ",7,94
"Phoenix-Mesa-Chandler, AZ",8,93
"Phoenix-Mesa-Chandler, AZ",9,87.5
"Phoenix-Mesa-Chandler, AZ",10,76.5
"Phoenix-Mesa-Chandler, AZ",11,63.5
"Phoenix-Mesa-Chandler, AZ",12,56
"San Francisco-Oakland-Berkeley, CA",1,52.5
"San Francisco-Oakland-Berkeley, CA",2,54.5
