"","MSA","min","max","perc"
"71","Detroit-Warren-Dearborn, MI",2e+05,5e+05,0.0844415093889256
"72","Detroit-Warren-Dearborn, MI",30000,34999,0.0426961541237562
"73","Detroit-Warren-Dearborn, MI",35000,39999,0.0434804353101576
"74","Detroit-Warren-Dearborn, MI",10000,14999,0.0356927504570711
"75","Detroit-Warren-Dearborn, MI",45000,49999,0.0352574175666483
"76","Detroit-Warren-Dearborn, MI",60000,74999,0.0951520624606083
"77","Detroit-Warren-Dearborn, MI",25000,29999,0.0380967427893017
"78","Detroit-Warren-Dearborn, MI",40000,44999,0.0430121398771179
"79","Detroit-Warren-Dearborn, MI",150000,199999,0.0806508169879852
"80","Detroit-Warren-Dearborn, MI",50000,59999,0.0721174966881169
"81","Houston-The Woodlands-Sugar Land, TX",45000,49999,0.0336972269942235
"82","Houston-The Woodlands-Sugar Land, TX",125000,149999,0.0665599036826695
"83","Houston-The Woodlands-Sugar Land, TX",35000,39999,0.0407384328675202
"84","Houston-The Woodlands-Sugar Land, TX",1e+05,124999,0.0943649210560002
"85","Houston-The Woodlands-Sugar Land, TX",150000,199999,0.0837068179800039
"86","Houston-The Woodlands-Sugar Land, TX",0,10000,0.0593234184195362
"87","Houston-The Woodlands-Sugar Land, TX",40000,44999,0.0374363660196948
"88","Houston-The Woodlands-Sugar Land, TX",30000,34999,0.0440278142431713
"89","Houston-The Woodlands-Sugar Land, TX",20000,24999,0.0370031379245261
"90","Houston-The Woodlands-Sugar Land, TX",60000,74999,0.0977873076853588
"91","Houston-The Woodlands-Sugar Land, TX",10000,14999,0.0315737558338757
"92","Houston-The Woodlands-Sugar Land, TX",50000,59999,0.0694591106868953
"93","Houston-The Woodlands-Sugar Land, TX",15000,19999,0.0340589551553182
"94","Houston-The Woodlands-Sugar Land, TX",25000,29999,0.0399849927020094
"95","Houston-The Woodlands-Sugar Land, TX",2e+05,5e+05,0.10798642731359
"96","Houston-The Woodlands-Sugar Land, TX",75000,99999,0.122291411435607
"97","Los Angeles-Long Beach-Anaheim, CA",25000,29999,0.0310543076460099
"98","Los Angeles-Long Beach-Anaheim, CA",30000,34999,0.0331806197476633
"99","Los Angeles-Long Beach-Anaheim, CA",75000,99999,0.124997417343772
"100","Los Angeles-Long Beach-Anaheim, CA",0,10000,0.0608476053162294
"101","Los Angeles-Long Beach-Anaheim, CA",10000,14999,0.0385469302323492
"102","Los Angeles-Long Beach-Anaheim, CA",20000,24999,0.0331136952645314
"103","Los Angeles-Long Beach-Anaheim, CA",45000,49999,0.0282463988789026
"104","Los Angeles-Long Beach-Anaheim, CA",40000,44999,0.0291438157735168
"105","Los Angeles-Long Beach-Anaheim, CA",15000,19999,0.0299001971801886
"106","Los Angeles-Long Beach-Anaheim, CA",125000,149999,0.0717902074658977
"107","Los Angeles-Long Beach-Anaheim, CA",50000,59999,0.0604604314607953
"108","Los Angeles-Long Beach-Anaheim, CA",150000,199999,0.100237379794196
"109","Los Angeles-Long Beach-Anaheim, CA",60000,74999,0.084644199803269
"110","Los Angeles-Long Beach-Anaheim, CA",1e+05,124999,0.0994248536869102
"111","Los Angeles-Long Beach-Anaheim, CA",35000,39999,0.0309527980272998
"112","Los Angeles-Long Beach-Anaheim, CA",2e+05,5e+05,0.143459142378469
"113","Miami-Fort Lauderdale-Pompano Beach, FL",50000,59999,0.074386152319457
"114","Miami-Fort Lauderdale-Pompano Beach, FL",40000,44999,0.0413398021970495
"115","Miami-Fort Lauderdale-Pompano Beach, FL",0,10000,0.0691295863808771
"116","Miami-Fort Lauderdale-Pompano Beach, FL",30000,34999,0.0422536859907424
"117","Miami-Fort Lauderdale-Pompano Beach, FL",2e+05,5e+05,0.0932113781133502
"118","Miami-Fort Lauderdale-Pompano Beach, FL",35000,39999,0.0413337327600895
"119","Miami-Fort Lauderdale-Pompano Beach, FL",125000,149999,0.0596231139766561
"120","Miami-Fort Lauderdale-Pompano Beach, FL",60000,74999,0.0946689100461754
