"","MSA","estimate","is_male","min_age","max_age"
"681","Washington-Arlington-Alexandria, DC-VA-MD-WV",58161,0,85,99
"682","New York-Newark-Jersey City, NY-NJ-PA",267689,0,85,99
"683","Houston-The Woodlands-Sugar Land, TX",50914,0,85,99
"684","Riverside-San Bernardino-Ontario, CA",40775,0,85,99
"685","Detroit-Warren-Dearborn, MI",52717,0,85,99
"686","Phoenix-Mesa-Chandler, AZ",49567,0,85,99
"687","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",79032,0,85,99
"688","Atlanta-Sandy Springs-Alpharetta, GA",44798,0,85,99
"689","San Francisco-Oakland-Berkeley, CA",58315,0,85,99
"690","Seattle-Tacoma-Bellevue, WA",36016,0,85,99
